text,label
How do you go by?,NameQuery
What’s the name I should call you by?,NameQuery
How do your friends call you?,NameQuery
Do you have a nickname?,NameQuery
Can you share your name with me?,NameQuery
What name do you prefer to be called by?,NameQuery
I’d love to know your name. Can you tell me?,NameQuery
Can you tell me what you’re called?,NameQuery
How are you addressed by others?,NameQuery
Is there a name you like to be called?,NameQuery
"I’m curious, what do I call you?",NameQuery
Can you tell me how you’re known?,NameQuery
What do people refer to you as?,NameQuery
Can you share how you’re known among your friends?,NameQuery
"I wonder, what name do you go by?",NameQuery
Is there a name I should use to address you?,NameQuery
Could you tell me your full name?,NameQuery
Could you please let me know your name?,NameQuery
Would you mind telling me your name?,NameQuery
Could I ask your name?,NameQuery
What should I call you when I talk to you?,NameQuery
What is the best way to address you?,NameQuery
How do I refer to you?,NameQuery
Is there a name you prefer people use for you?,NameQuery
Who might I be speaking with today?,NameQuery
"Can I know your name, please?",NameQuery
What’s the name you go by?,NameQuery
Could you tell me how you’re typically addressed?,NameQuery
What name do you like people to call you?,NameQuery
How can I refer to you?,NameQuery
Would you mind sharing your name with me?,NameQuery
What should I call you in our conversation?,NameQuery
"I’m wondering, what name should I use for you?",NameQuery
Do you go by any particular name?,NameQuery
What do your acquaintances call you?,NameQuery
Is there any name you’d prefer I use?,NameQuery
What is the time?,TimeQuery
What's the time?,TimeQuery
Do you know what time it is?,TimeQuery
Do you know the time?,TimeQuery
Can you tell me the time?,TimeQuery
Tell me what time it is?,TimeQuery
Time,TimeQuery
What time is it?,TimeQuery
Could you tell me the time?,TimeQuery
Can you check the time for me?,TimeQuery
Can you let me know what time it is?,TimeQuery
What’s the current time?,TimeQuery
Do you have the time?,TimeQuery
What time is it right now?,TimeQuery
What is the current time?,TimeQuery
Could you please tell me the time?,TimeQuery
Can you tell me the current time?,TimeQuery
What time does your clock show?,TimeQuery
Could you check the time for me?,TimeQuery
What is the time at the moment?,TimeQuery
Do you happen to know the time?,TimeQuery
What time is showing on your clock?,TimeQuery
What’s the time right now?,TimeQuery
Can you give me the time?,TimeQuery
What is the time over there?,TimeQuery
What time are we at now?,TimeQuery
Could you please check the time for me?,TimeQuery
"Can you tell me what time it is, please?",TimeQuery
I’d like to know the time.,TimeQuery
Do you know what time it is right now?,TimeQuery
Can you confirm the time for me?,TimeQuery
Could you tell me what time it is now?,TimeQuery
What time does it say right now?,TimeQuery
What time is currently displayed?,TimeQuery
What’s the clock say right now?,TimeQuery
"Can you tell me the current time, please?",TimeQuery
What’s the exact time?,TimeQuery
Tell me what time it is at this moment.,TimeQuery
Can you share the time with me?,TimeQuery
Is it possible to know the time?,TimeQuery
Would you mind telling me the time?,TimeQuery
Please let me know what time it is.,TimeQuery
What time is showing on your display?,TimeQuery
"Could you give me the time, please?",TimeQuery
Can you tell me the exact time?,TimeQuery
What is the exact time right now?,TimeQuery
What is the time on your end?,TimeQuery
What time do you have right now?,TimeQuery
Can you check and tell me the time?,TimeQuery
Is there any way you can tell me the time?,TimeQuery
What time do you have on your clock?,TimeQuery
Please tell me the time right now.,TimeQuery
I’d appreciate knowing the time.,TimeQuery
Can you give me an update on the time?,TimeQuery
Do you know the current time?,TimeQuery
Could you let me know the time now?,TimeQuery
OK thank you,Thanks
OK thanks,Thanks
OK,Thanks
Thanks,Thanks
Thank you,Thanks
That's helpful,Thanks
Thanks a lot,Thanks
Thank you so much,Thanks
I appreciate it,Thanks
Much appreciated,Thanks
Thanks a million,Thanks
"I’m grateful, thank you",Thanks
I’m really thankful,Thanks
I can’t thank you enough,Thanks
I appreciate your help,Thanks
Thanks for that,Thanks
Thanks for your help,Thanks
"That’s great, thank you",Thanks
I’m so thankful,Thanks
Thanks for everything,Thanks
I truly appreciate it,Thanks
I appreciate you,Thanks
"That was really helpful, thanks",Thanks
Many thanks,Thanks
Thanks again,Thanks
I appreciate your time,Thanks
Thanks for your support,Thanks
I’m thankful for your help,Thanks
Thank you for your assistance,Thanks
"Thank you, I appreciate it",Thanks
"I’m really grateful, thanks",Thanks
"Thanks, I needed that",Thanks
Thanks for the information,Thanks
"Thank you, I’m grateful",Thanks
"You’ve been a big help, thanks",Thanks
"That helped a lot, thank you",Thanks
Thanks for all your help,Thanks
"I’m so grateful for that, thanks",Thanks
"I appreciate your response, thank you",Thanks
Thank you very much,Thanks
Thank you for the help,Thanks
I’m thankful for that,Thanks
"You’ve helped me a lot, thanks",Thanks
"That’s awesome, thank you",Thanks
"I’m so thankful, thanks",Thanks
"Thanks, that was exactly what I needed",Thanks
Thanks for clearing that up,Thanks
I’m thankful for your support,Thanks
"You’re a big help, thank you",Thanks
Thank you for the assistance,Thanks
"That was really kind of you, thank you",Thanks
Thank you for being so helpful,Thanks
"You’re the best, thanks",Thanks
"I appreciate it, thank you",Thanks
"I’m glad you could help, thanks",Thanks
I am not talking to you,NotTalking2U
I was not talking to you,NotTalking2U
Not talking to you,NotTalking2U
Wasn't for you,NotTalking2U
Wasn't meant for you,NotTalking2U
Wasn't communicating to you,NotTalking2U
Wasn't speaking to you,NotTalking2U
This is not for you,NotTalking2U
I'm not addressing you,NotTalking2U
I'm not talking your way,NotTalking2U
I wasn't speaking your name,NotTalking2U
I’m not speaking to you right now,NotTalking2U
Not aimed at you,NotTalking2U
I wasn’t talking in your direction,NotTalking2U
This doesn’t involve you,NotTalking2U
This is none of your business,NotTalking2U
I wasn’t referring to you,NotTalking2U
I wasn’t talking about you,NotTalking2U
This conversation doesn’t include you,NotTalking2U
I’m not having this conversation with you,NotTalking2U
You’re not the one I’m talking to,NotTalking2U
This wasn’t directed at you,NotTalking2U
I wasn't speaking to you specifically,NotTalking2U
I wasn't talking to you anyway,NotTalking2U
Not addressed to you,NotTalking2U
You’re not who I’m talking to,NotTalking2U
This conversation’s not for you,NotTalking2U
This wasn’t meant for you to hear,NotTalking2U
I’m not communicating with you,NotTalking2U
You weren’t part of the conversation,NotTalking2U
I’m not talking to you right now,NotTalking2U
That wasn't directed at you,NotTalking2U
This message wasn’t for you,NotTalking2U
I didn’t mean to include you in this,NotTalking2U
You’re not who I’m addressing,NotTalking2U
I wasn’t speaking in your direction,NotTalking2U
This conversation doesn't concern you,NotTalking2U
I'm not conversing with you,NotTalking2U
Not your turn to talk,NotTalking2U
"I'm not talking to you, sorry",NotTalking2U
Not your problem,NotTalking2U
That wasn’t for you,NotTalking2U
I didn’t say that to you,NotTalking2U
That was for someone else,NotTalking2U
I'm not directing this at you,NotTalking2U
I wasn’t talking about you specifically,NotTalking2U
This doesn’t pertain to you,NotTalking2U
This doesn’t concern you,NotTalking2U
I wasn’t including you in this conversation,NotTalking2U
I didn’t mean you,NotTalking2U
I wasn’t talking in your direction at all,NotTalking2U
I didn’t mention you,NotTalking2U
You weren’t included in what I said,NotTalking2U
This was meant for someone else,NotTalking2U
I’m not addressing you at the moment,NotTalking2U
I’m not speaking with you,NotTalking2U
This isn’t about you,NotTalking2U
You’re not the intended audience,NotTalking2U
I wasn't communicating with you,NotTalking2U
I wasn’t trying to include you in this,NotTalking2U
I’m not directing my attention towards you,NotTalking2U
Not my conversation with you,NotTalking2U
This is not directed towards you,NotTalking2U
You’re not part of this discussion,NotTalking2U
That’s not relevant to you,NotTalking2U
I’m not engaging with you,NotTalking2U
I’m not conversing with you right now,NotTalking2U
"I wasn’t referring to you, sorry",NotTalking2U
This doesn’t include your input,NotTalking2U
I didn’t say that to you on purpose,NotTalking2U
I wasn’t communicating with you on this,NotTalking2U
I didn’t mean to talk to you,NotTalking2U
This isn’t for you to worry about,NotTalking2U
That wasn’t intended for you,NotTalking2U
I’m not saying anything to you,NotTalking2U
I wasn’t talking in your direction at all,NotTalking2U
That’s not for you to respond to,NotTalking2U
You’re not included in this chat,NotTalking2U
I wasn’t speaking directly to you,NotTalking2U
I wasn’t talking to you in the first place,NotTalking2U
I didn’t mean for you to hear that,NotTalking2U
This conversation isn’t for you,NotTalking2U
"I’m not talking to you right now, please",NotTalking2U
I didn’t address that to you,NotTalking2U
I’m not interacting with you,NotTalking2U
This isn’t meant for you,NotTalking2U
I didn’t include you in this chat,NotTalking2U
I wasn’t speaking your name,NotTalking2U
"I wasn't addressing you, honestly",NotTalking2U
"I’m not talking with you, though",NotTalking2U
This doesn’t concern you in any way,NotTalking2U
I didn’t mean for you to get involved,NotTalking2U
I’m not asking you,NotTalking2U
That wasn’t intended for you,NotTalking2U
You don’t need to respond to that,NotTalking2U
I’m not speaking in your direction,NotTalking2U
I wasn’t trying to include you in this,NotTalking2U
"Not directed at you, sorry",NotTalking2U
I wasn’t speaking about you specifically,NotTalking2U
I’m not in a conversation with you,NotTalking2U
I’m not saying anything to you right now,NotTalking2U
I wasn’t talking about you in this context,NotTalking2U
I didn’t mean to get you involved,NotTalking2U
This wasn’t your conversation,NotTalking2U
I’m not engaging with you at the moment,NotTalking2U
Not your conversation,NotTalking2U
That wasn’t meant to be heard by you,NotTalking2U
That’s not something you need to be a part of,NotTalking2U
I didn’t mean for you to be involved in this,NotTalking2U
I wasn’t communicating with you directly,NotTalking2U
This wasn’t meant for your ears,NotTalking2U
That’s not for your consideration,NotTalking2U
I wasn’t communicating anything to you,NotTalking2U
"This isn’t directed at you, sorry",NotTalking2U
I wasn’t speaking with you about this,NotTalking2U
I’m not looking for your input,NotTalking2U
"This is not meant for you, really",NotTalking2U
You weren’t meant to be in this conversation,NotTalking2U
This wasn’t directed towards you at all,NotTalking2U
Not part of this conversation,NotTalking2U
I wasn’t looking for your response,NotTalking2U
You’re not being addressed here,NotTalking2U
"I’m not talking to you, really",NotTalking2U
I’m not addressing you in this context,NotTalking2U
Not for you to worry about,NotTalking2U
Do you understand what I am saying,UnderstandQuery
Do you understand me,UnderstandQuery
Do you know what I am saying,UnderstandQuery
Do you get me,UnderstandQuery
Comprendo,UnderstandQuery
Know what I mean,UnderstandQuery
Do you follow me,UnderstandQuery
Are you following me,UnderstandQuery
Do you catch my drift,UnderstandQuery
Are you understanding what I’m saying,UnderstandQuery
Do you get what I mean,UnderstandQuery
Are you with me,UnderstandQuery
Do you know what I'm talking about,UnderstandQuery
Can you comprehend what I'm saying,UnderstandQuery
Are you able to understand me,UnderstandQuery
Do you get the point,UnderstandQuery
Is it clear to you,UnderstandQuery
Do you understand what I’m getting at,UnderstandQuery
Can you follow what I’m saying,UnderstandQuery
Do you see what I mean,UnderstandQuery
Does it make sense to you,UnderstandQuery
Are you picking up what I’m putting down,UnderstandQuery
Are you on the same page,UnderstandQuery
Is this making sense,UnderstandQuery
Are you grasping what I mean,UnderstandQuery
Do you catch on to what I’m saying,UnderstandQuery
Do you get the idea,UnderstandQuery
Are you understanding this,UnderstandQuery
Can you hear what I’m saying,UnderstandQuery
Do you understand my words,UnderstandQuery
Can you get what I'm talking about,UnderstandQuery
Are you processing what I’m saying,UnderstandQuery
Do you understand the message,UnderstandQuery
Are you catching what I’m saying,UnderstandQuery
Are you picking up on it,UnderstandQuery
Are you getting the gist of it,UnderstandQuery
Do you comprehend what I’m saying,UnderstandQuery
Are you understanding this clearly,UnderstandQuery
Do you get what I’m implying,UnderstandQuery
Are you making sense of this,UnderstandQuery
Can you wrap your head around this,UnderstandQuery
Do you understand the concept,UnderstandQuery
Do you follow what I’m talking about,UnderstandQuery
Are you getting the picture,UnderstandQuery
Is what I’m saying clear to you,UnderstandQuery
Do you get the meaning,UnderstandQuery
Are you with me on this,UnderstandQuery
Can you make sense of it,UnderstandQuery
Are you on board with what I’m saying,UnderstandQuery
Are you hearing me,UnderstandQuery
Do you get what I’m driving at,UnderstandQuery
Can you take in what I’m saying,UnderstandQuery
Do you follow along,UnderstandQuery
Do you get what I’m referring to,UnderstandQuery
Do you know what I’m getting at,UnderstandQuery
Can you follow the conversation,UnderstandQuery
Can you understand what I’m referring to,UnderstandQuery
Do you get what I’m talking about here,UnderstandQuery
Are you following my logic,UnderstandQuery
Do you understand the point I’m making,UnderstandQuery
Can you understand my meaning,UnderstandQuery
Are you following along with what I’m saying,UnderstandQuery
Do you see where I’m coming from,UnderstandQuery
Are you with me so far,UnderstandQuery
Is this clear to you,UnderstandQuery
Do you understand what I mean by this,UnderstandQuery
Do you get where I’m coming from,UnderstandQuery
Do you understand what I’m trying to convey,UnderstandQuery
Do you follow what I’m trying to say,UnderstandQuery
Can you make out what I mean,UnderstandQuery
Are you able to catch what I’m saying,UnderstandQuery
Do you understand what I'm talking about,UnderstandQuery
Can you pick up what I'm saying,UnderstandQuery
Is this making sense to you,UnderstandQuery
Do you know what I’m talking about here,UnderstandQuery
Are you getting the full picture,UnderstandQuery
Do you understand the idea,UnderstandQuery
Do you catch what I’m saying,UnderstandQuery
Can you wrap your mind around this,UnderstandQuery
Are you following what I'm saying,UnderstandQuery
Do you understand the words I’m saying,UnderstandQuery
Do you know what I'm implying,UnderstandQuery
Do you understand what I’m getting at here,UnderstandQuery
Can you follow my meaning,UnderstandQuery
Do you see where I’m headed with this,UnderstandQuery
Are you catching the drift,UnderstandQuery
Do you see what I’m driving at,UnderstandQuery
Can you follow the thread of this conversation,UnderstandQuery
Are you making sense of what I’m saying,UnderstandQuery
Do you understand the context,UnderstandQuery
Do you get the full idea,UnderstandQuery
Are you on the same wavelength,UnderstandQuery
Do you get the context,UnderstandQuery
Are you tracking with me,UnderstandQuery
Do you get the concept I’m explaining,UnderstandQuery
Do you know what I mean by this,UnderstandQuery
Do you catch the idea,UnderstandQuery
Can you understand what I’m trying to say,UnderstandQuery
Do you get the overall picture,UnderstandQuery
Do you understand what I’m trying to express,UnderstandQuery
Can you follow my explanation,UnderstandQuery
Do you comprehend what I mean,UnderstandQuery
Are you on the same page as me,UnderstandQuery
Be quiet,Shutup
Shut up,Shutup
Stop talking,Shutup
Enough talking,Shutup
Please be quiet,Shutup
Quiet,Shutup
Shhh,Shutup
Hush,Shutup
Can you be quiet,Shutup
Keep it down,Shutup
Quiet down,Shutup
Don’t say anything,Shutup
No more talking,Shutup
Stop it with the talking,Shutup
Can you stop talking,Shutup
Cut the chatter,Shutup
Silence,Shutup
Please stop talking,Shutup
I need some quiet,Shutup
Stop your noise,Shutup
Enough with the noise,Shutup
Don’t speak,Shutup
Stop the noise,Shutup
Hush up,Shutup
Keep quiet,Shutup
Just be quiet,Shutup
Keep your voice down,Shutup
Shush,Shutup
Stop the conversation,Shutup
Please stop,Shutup
Keep it hush,Shutup
Zip it,Shutup
No talking,Shutup
Stop your words,Shutup
Hold your tongue,Shutup
Stop the sound,Shutup
No more words,Shutup
Can you hush,Shutup
Can you be silent,Shutup
Just stop talking,Shutup
Cut it out with the talking,Shutup
Don’t make a sound,Shutup
Be silent,Shutup
Don’t speak a word,Shutup
Stop making noise,Shutup
No more noise,Shutup
"Keep it down, please",Shutup
Stop chattering,Shutup
Quiet now,Shutup
Enough with the words,Shutup
Can you hush up,Shutup
Stop the blabbering,Shutup
"Quiet down, please",Shutup
Enough of your talking,Shutup
"Stop making noise, please",Shutup
Don’t make any noise,Shutup
Stop the nonsense,Shutup
No talking for now,Shutup
Shut your mouth,Shutup
Please stop the chatter,Shutup
Stop talking already,Shutup
Keep quiet for a moment,Shutup
Shush up,Shutup
Please zip it,Shutup
Can you keep quiet,Shutup
Stop all that talking,Shutup
Enough of the noise,Shutup
Quit the talking,Shutup
Stop the rambling,Shutup
Please hold your tongue,Shutup
Be quiet for a while,Shutup
Don’t say another word,Shutup
Can you keep silent,Shutup
Stop babbling,Shutup
Stop the babble,Shutup
Can you stop that noise,Shutup
Quiet down for a second,Shutup
Please hush up,Shutup
Be silent for a moment,Shutup
Can you just stop,Shutup
Don’t make any more noise,Shutup
Stop the loud talking,Shutup
"Stop talking, okay",Shutup
Let’s keep quiet,Shutup
Stop speaking,Shutup
Be still,Shutup
Keep still and quiet,Shutup
Enough of the sound,Shutup
Stop all the talking,Shutup
"Please, just be quiet",Shutup
Goodbye for now,GoodBye
"I’m leaving now, take care",GoodBye
It’s time to say goodbye,GoodBye
I’ll be seeing you,GoodBye
"Catch you later, buddy",GoodBye
Bye for now,GoodBye
"Goodbye, stay well",GoodBye
See you in the future,GoodBye
I’ll talk to you soon,GoodBye
"I have to go now, bye",GoodBye
Goodbye and take care of yourself,GoodBye
It’s been a pleasure,GoodBye
I’ll see you when I see you,GoodBye
Till we meet again,GoodBye
"Goodbye, stay safe out there",GoodBye
"I’m off, goodbye",GoodBye
Take care until then,GoodBye
I’ll see you soon enough,GoodBye
It’s time to part ways,GoodBye
"Goodbye, don’t be a stranger",GoodBye
"Catch you later, friend",GoodBye
"Time to go, see you soon",GoodBye
So long for now,GoodBye
It’s time to say farewell,GoodBye
"Until we meet again, take care",GoodBye
"I’m heading off now, goodbye",GoodBye
"See you later, take care",GoodBye
"Until next time, be well",GoodBye
I’ll be back soon enough,GoodBye
"Take care, catch you soon",GoodBye
I’ll be seeing you soon,GoodBye
"Have a great time, goodbye",GoodBye
"I’m off to do other things, see you later",GoodBye
"It’s time to say goodbye, take care",GoodBye
"Until we meet again, be safe",GoodBye
"Goodbye, my dear friend",GoodBye
"Talk to you later, stay safe",GoodBye
"I’m off now, see you soon",GoodBye
"Wishing you all the best, goodbye",GoodBye
"Take care, till we meet again",GoodBye
"It’s goodbye for now, my friend",GoodBye
"I’ll see you again, I hope",GoodBye
"Goodbye, take care and be well",GoodBye
"I’ll see you later, take care",GoodBye
"It’s time for me to go, goodbye",GoodBye
"I’ll talk to you later, don’t worry",GoodBye
"Goodbye, I’ll catch up with you soon",GoodBye
"Till next time, my friend",GoodBye
"I’m off now, take care and see you later",GoodBye
Farewell for now,GoodBye
"See you around, take care",GoodBye
"Thanks, bye",CourtesyGoodBye
"Thanks for the help, goodbye",CourtesyGoodBye
"Thank you, bye",CourtesyGoodBye
"Thank you, goodbye",CourtesyGoodBye
Thanks goodbye,CourtesyGoodBye
Thanks good bye,CourtesyGoodBye
"I appreciate your help, goodbye",CourtesyGoodBye
"Thanks for everything, goodbye",CourtesyGoodBye
"Thanks a lot, take care",CourtesyGoodBye
"Thank you so much, see you later",CourtesyGoodBye
"Thanks for your time, goodbye",CourtesyGoodBye
"I appreciate it, goodbye",CourtesyGoodBye
"Thanks, see you soon",CourtesyGoodBye
"Thanks for your assistance, goodbye",CourtesyGoodBye
"Thank you, take care",CourtesyGoodBye
"Thanks for the support, goodbye",CourtesyGoodBye
"Thanks for your help, take care",CourtesyGoodBye
"Thank you very much, see you",CourtesyGoodBye
"Thanks, have a great day",CourtesyGoodBye
"Thank you for everything, take care",CourtesyGoodBye
"Thanks a bunch, goodbye",CourtesyGoodBye
"I’m grateful, goodbye",CourtesyGoodBye
"Thank you for the help, see you later",CourtesyGoodBye
"Thank you, have a great day ahead",CourtesyGoodBye
"Thanks for helping, goodbye",CourtesyGoodBye
"Thank you for your help, take care",CourtesyGoodBye
"Thanks, take care of yourself",CourtesyGoodBye
"Thank you, I appreciate it",CourtesyGoodBye
"Thanks for your time, take care",CourtesyGoodBye
"Thanks a lot, goodbye for now",CourtesyGoodBye
"Thanks for everything, take care",CourtesyGoodBye
"Thank you so much, goodbye for now",CourtesyGoodBye
"I appreciate your time, goodbye",CourtesyGoodBye
"Thanks for your assistance, take care",CourtesyGoodBye
"Thanks a lot, have a great day",CourtesyGoodBye
"Thank you, I’ll talk to you soon",CourtesyGoodBye
"Thank you for all your help, goodbye",CourtesyGoodBye
"Thanks again, take care",CourtesyGoodBye
"Thank you, I’ll see you later",CourtesyGoodBye
"Thanks for your kindness, goodbye",CourtesyGoodBye
"Thank you for your help, have a great day",CourtesyGoodBye
"Thanks, hope to see you soon",CourtesyGoodBye
"Thank you so much, take care",CourtesyGoodBye
"Thanks for your support, see you soon",CourtesyGoodBye
"Thank you, I’m grateful",CourtesyGoodBye
"Thanks, hope everything goes well for you",CourtesyGoodBye
"Thanks for everything, I’ll see you later",CourtesyGoodBye
"Thanks for your assistance, have a good one",CourtesyGoodBye
"Thank you for everything, talk soon",CourtesyGoodBye
"Thanks for helping me, goodbye",CourtesyGoodBye
"Thank you, take care and stay safe",CourtesyGoodBye
"Thanks a lot for your time, goodbye",CourtesyGoodBye
"Thank you for your kindness, take care",CourtesyGoodBye
"Thanks for everything, talk to you soon",CourtesyGoodBye
"Thank you, I hope you have a wonderful day",CourtesyGoodBye
"Thanks again, take care of yourself",CourtesyGoodBye
"Thank you, I’ll catch you later",CourtesyGoodBye
"Thanks for your help, hope you have a nice day",CourtesyGoodBye
"Thanks, looking forward to seeing you again",CourtesyGoodBye
"Thank you, I appreciate all the help",CourtesyGoodBye
"Thanks, I’ll be in touch",CourtesyGoodBye
"Thanks a lot, stay safe",CourtesyGoodBye
"Thank you, don’t be a stranger",CourtesyGoodBye
"Thanks for all your help, stay safe",CourtesyGoodBye
"Thank you for your time, hope you have a great day",CourtesyGoodBye
"Thanks, I hope everything goes well",CourtesyGoodBye
"Thanks for the help, I’m out",CourtesyGoodBye
"Thanks for everything, I’ll catch up with you later",CourtesyGoodBye
"Thanks, I hope you have a wonderful day ahead",CourtesyGoodBye
"Thank you, looking forward to talking again soon",CourtesyGoodBye
Can you see me?,WhoAmI
Do you see me?,WhoAmI
Can you see anyone in the camera?,WhoAmI
Do you see anyone in the camera?,WhoAmI
Identify me,WhoAmI
Who am I please?,WhoAmI
Can you tell who I am?,WhoAmI
Do you recognize me?,WhoAmI
Do you know who I am?,WhoAmI
Can you identify me?,WhoAmI
Who is this?,WhoAmI
Can you figure out who I am?,WhoAmI
Do you have any idea who I am?,WhoAmI
Can you tell me who I am?,WhoAmI
What’s my identity?,WhoAmI
Do you see my face?,WhoAmI
Who am I on your screen?,WhoAmI
Can you see who I am?,WhoAmI
Do you recognize my face?,WhoAmI
What do you know about me?,WhoAmI
Can you make out who I am?,WhoAmI
What is my identity?,WhoAmI
Can you distinguish me?,WhoAmI
Do you know who is speaking?,WhoAmI
What name do you associate with me?,WhoAmI
Can you identify who I am?,WhoAmI
Do you have any clue about who I am?,WhoAmI
Who’s in front of the camera?,WhoAmI
What am I to you?,WhoAmI
Who do you see?,WhoAmI
Do you know my name?,WhoAmI
What can you tell about me?,WhoAmI
Can you figure out my identity?,WhoAmI
Do you recognize my voice or image?,WhoAmI
Who is talking to you?,WhoAmI
Can you see who’s here?,WhoAmI
What do you know about the person in front of you?,WhoAmI
Can you tell who is speaking?,WhoAmI
Can you see me in the camera?,WhoAmI
Who do you think I am?,WhoAmI
Do you recognize the person in front of the camera?,WhoAmI
Can you tell me who’s here?,WhoAmI
